ID,Categoría,Tipo,Hallazgo,Descripción,Impacto,Acción sugerida para Business Dollar,Prioridad
11,Contenido,Warning,Sin contenido sobre localidades,"No hay páginas específicas por ciudad o distrito para SEO local.",Medio,"Crear páginas programáticas por localidad: /lima/cambio-de-dolares, /arequipa/cambio-de-dolares. Ideal para SEO local.",2
12,Contenido,Warning,Sin contenido comparativo,"No hay páginas del tipo 'vs' o comparativas con otros servicios.",Medio,"Crear contenido BOFU: 'Business Dollar vs Rextie', 'Mejores casas de cambio 2026', comparativas de tipo de cambio.",3
13,Contenido,Warning,Sin guías educativas,"No hay contenido educativo sobre finanzas, tipo de cambio, o protección al consumidor.",Medio,"Desarrollar hub de contenido educativo: 'Qué es el tipo de cambio', 'Cómo proteger tu dinero al cambiar dólares online', etc.",2
14,Contenido,Oportunidad,Sin topic clusters,"No existe estrategia de pilares de contenido ni clusters temáticos.",Alto,"Definir 4-5 pilares: Tipo de Cambio, Seguridad Financiera, Guías de Cambio, Actualidad Económica, Business Dollar como marca.",1
15,EEAT,Error,Sin página 'Sobre Nosotros',"No existe una página que presente al equipo, historia, misión o valores de la empresa.",Alto,"Crear página /sobre-nosotros con historia de la empresa, equipo, misión, visión, valores. Incluir fotos reales del equipo.",1
16,EEAT,Error,Sin autoría en contenido,"No hay autores identificados en ningún contenido. Google valora autoría verificable especialmente en sitios YMYL.",Alto,"Implementar sistema de autores con bios, credenciales, foto, y links a perfiles profesionales (LinkedIn). Cada artículo debe tener autor visible.",1
17,EEAT,Warning,Sin credenciales visibles,"Las credenciales financieras (registro SBS) solo aparecen en el footer en texto pequeño.",Medio,"Destacar registro SBS, certificaciones, y credenciales en la landing principal y en una página dedicada de transparencia.",2
18,EEAT,Warning,Testimonios sin verificación,"Los testimonios muestran solo nombre y 'Cliente'. Sin foto real, sin enlace a perfil, sin verificación.",Medio,"Implementar testimonios verificables: foto real, nombre completo, enlace a perfil o empresa, ReviewSchema.",2
19,EEAT,Oportunidad,Sin thought leadership,"No hay contenido que demuestre experiencia y expertise del equipo en finanzas o tipo de cambio.",Medio,"Publicar análisis de mercado, informes semanales de tipo de cambio, opiniones de expertos del equipo.",2
20,YMYL,Error,Sin disclaimers financieros,"No hay avisos legales sobre riesgos financieros ni disclaimers en el contenido principal.",Alto,"Incluir disclaimers financieros visibles en páginas de servicio y contenido. 'Este servicio está regulado por la SBS bajo registro N°...'",1
21,YMYL,Warning,Información de contacto limitada,"Solo WhatsApp y email. No hay dirección física visible en la landing, teléfono fijo, ni horario detallado.",Medio,"Publicar información de contacto completa: dirección, teléfono, email, horarios, mapa. Implementar ContactPoint Schema.",2
22,YMYL,Warning,Sin página de seguridad,"No existe una página dedicada a explicar las medidas de seguridad del servicio.",Medio,"Crear página /seguridad que explique: cifrado, regulación SBS, protección de datos, proceso de verificación.",2
23,YMYL,Oportunidad,Sin certificaciones destacadas,"Las certificaciones regulatorias no se destacan como diferenciador de confianza.",Medio,"Crear sección visual de 'Confianza y Seguridad' con badges de SBS, SSL, bancos aliados, años de operación.",2
24,UX/UI,Warning,Menú hamburguesa en desktop,"Incluso en resoluciones de escritorio usa menú hamburguesa. Oculta la navegación y reduce la discoverabilidad.",Medio,"Implementar navegación completa visible en desktop. Menú hamburguesa solo para mobile. Incluir links a secciones clave del sitio.",2
25,UX/UI,Warning,Sin calculadora prominente en landing,"La calculadora de tipo de cambio existe pero no es el elemento visual principal al cargar la página.",Medio,"Colocar simulador/calculadora de tipo de cambio en el hero de la landing como elemento principal. Es lo que buscan los usuarios.",2
26,UX/UI,Oportunidad,Sin breadcrumbs,"No hay breadcrumbs en ninguna página. Esto afecta navegación y SEO.",Medio,"Implementar breadcrumbs en todas las páginas internas con BreadcrumbList Schema.",2
27,UX/UI,Oportunidad,CTA principal poco claro,"El CTA principal 'REGÍSTRATE Y OPERA' no comunica beneficio inmediato.",Bajo,"Usar CTAs orientados a beneficio: 'Cambia dólares al mejor tipo de cambio', 'Obtén tu cotización gratis'.",3
28,Rendimiento,Warning,Exceso de chunks JS,"Se cargan 30+ archivos JavaScript en la página principal. Impacto en LCP y TBT.",Medio,"Con Astro SSG el JS se reduce al mínimo. Solo islands interactivos cargan JS. Meta: LCP < 2.5s, CLS < 0.1.",2
29,Rendimiento,Oportunidad,Sin lazy loading visible,"Las imágenes no parecen tener lazy loading nativo implementado.",Bajo,"Usar @astrojs/image con lazy loading automático, formatos WebP/AVIF, y srcset responsive.",3
30,Schema/Datos Estructurados,Error,Sin Organization Schema,"No identifica la empresa como entidad para Google Knowledge Graph.",Alto,"Implementar Organization Schema con nombre, logo, redes sociales, contacto, dirección, registro SBS.",1
31,Schema/Datos Estructurados,Error,Sin WebSite Schema,"No tiene SearchAction ni identificación del sitio para Google.",Alto,"Implementar WebSite Schema con SearchAction para que Google muestre caja de búsqueda en resultados.",1
32,Schema/Datos Estructurados,Error,Sin FinancialService Schema,"Al ser un servicio financiero, debería usar FinancialService Schema para mejor clasificación.",Alto,"Implementar FinancialService Schema con tipo de servicio, área de cobertura, horarios, y certificaciones.",1
33,Schema/Datos Estructurados,Oportunidad,Sin Review/AggregateRating,"Los testimonios no están marcados con Schema para aparecer como estrellas en SERPs.",Medio,"Implementar AggregateRating y Review Schema basado en testimonios reales verificables.",2
34,Social/OG,Warning,OG Image genérica,"La imagen OG es solo el logo. No es optimizada para compartir en redes sociales.",Bajo,"Crear OG images dinámicas de 1200x630px con branding, título de página y tipo de cambio actual.",3
35,Social/OG,Warning,Sin perfil de Twitter/X,"Las Twitter Cards usan summary_large_image pero no tienen @username.",Bajo,"Configurar Twitter Cards con @handle oficial. Crear presencia activa en X/Twitter.",3
36,Arquitectura,Error,Sin estructura de URLs para contenido,"Solo 7 URLs en todo el sitio. No hay estructura preparada para escalar contenido.",Alto,"Definir estructura de URLs escalable: /blog/[slug], /[ciudad]/cambio-de-dolares, /preguntas-frecuentes, /sobre-nosotros, /seguridad.",1
37,Arquitectura,Warning,Sin internal linking strategy,"No hay links internos estratégicos entre secciones. Todo es navegación por menú.",Medio,"Implementar hub & spoke: landing → servicios → blog → FAQs. Cada página debe tener 3-5 internal links relevantes.",2
38,Arquitectura,Oportunidad,Sin hreflang,"Si planean expandirse a otros mercados hispanohablantes, necesitarán hreflang.",Bajo,"Preparar estructura para hreflang futuro si se expande a otros países.",4
